epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,48.3639,0.81382,2.38022,1.29584,0.29145,0.69444,0.44371,0.2844,0.80696,3.20208,1.40684,0.00036,0.00036,0.00036
2,98.2987,0.90926,2.09135,1.41978,0.61928,0.27143,0.3854,0.26128,1.08923,3.28545,1.78293,0.00070337,0.00070337,0.00070337
3,154.555,0.86627,1.86678,1.31182,0.31006,0.41667,0.30116,0.15226,1.37877,3.62174,1.90531,0.00100912,0.00100912,0.00100912
4,215.358,0.94004,1.78912,1.35643,0.6374,0.55556,0.57115,0.32934,1.22329,2.88916,1.97081,0.00127725,0.00127725,0.00127725
5,269.901,0.93812,1.77436,1.32422,0.39269,0.5,0.3606,0.1681,1.553,3.30809,2.32134,0.00150776,0.00150776,0.00150776
6,325.049,1.0212,1.82479,1.39122,0.60046,0.33333,0.34886,0.14811,1.58379,3.30083,2.3692,0.001505,0.001505,0.001505
7,381.384,0.98634,1.72224,1.34419,0.31214,0.3783,0.20155,0.10466,2.04056,3.13981,2.49235,0.001406,0.001406,0.001406
8,435.679,0.91758,1.67695,1.32374,0.65354,0.52411,0.5413,0.27548,1.4798,2.65812,1.94858,0.001307,0.001307,0.001307
9,490.197,0.96473,1.59337,1.37378,0.49957,0.55556,0.46815,0.28118,1.17805,2.75474,1.76171,0.001208,0.001208,0.001208
10,544.209,0.84745,1.57456,1.27138,0.54897,0.44444,0.43372,0.27396,1.3503,2.63583,1.81538,0.001109,0.001109,0.001109
11,599.059,1.07746,2.1504,1.45978,0.64344,0.60172,0.53029,0.31064,1.28913,2.32664,1.95674,0.00101,0.00101,0.00101
12,653.74,0.90735,1.90627,1.40267,0.68859,0.52778,0.57453,0.41336,1.15506,2.04703,1.78835,0.000911,0.000911,0.000911
13,707.837,0.75739,1.69961,1.30954,0.59882,0.52778,0.54377,0.37776,1.17782,2.09139,1.87832,0.000812,0.000812,0.000812
14,761.309,0.74302,1.66604,1.23557,0.60744,0.69444,0.65175,0.43409,0.97961,2.04326,1.58367,0.000713,0.000713,0.000713
15,815.842,0.76414,1.59066,1.27908,0.57168,0.77778,0.65098,0.43681,1.09965,2.14772,1.71616,0.000614,0.000614,0.000614
16,869.318,0.7124,1.60536,1.24698,0.74918,0.61111,0.6528,0.43001,1.04258,2.1329,1.59644,0.000515,0.000515,0.000515
17,923.418,0.8131,1.6381,1.31108,0.61431,0.66372,0.66141,0.45695,0.95788,2.01951,1.50128,0.000416,0.000416,0.000416
18,975.329,0.59058,1.35899,1.11935,0.77466,0.55556,0.65898,0.49202,0.86388,1.90346,1.42823,0.000317,0.000317,0.000317
19,1024.71,0.66003,1.37559,1.21648,0.83744,0.52778,0.69006,0.51336,0.81982,1.90604,1.32936,0.000218,0.000218,0.000218
20,1074.53,0.56286,1.29143,1.12608,0.83739,0.52778,0.67287,0.51748,0.87424,1.86092,1.36889,0.000119,0.000119,0.000119
